organization,patent_counts
The United States of America as represented by the Secretary of the Air Force,177
The United States of America as represented by the Secretary of the Army,172
"Yoder Brothers, Inc.",145
The United States of America as represented by the Secretary of the Navy,85
The Conard-Pyle Company,68
"Mikkelsens, Inc.",56
Fides Beheer B.V.,47
"Melridge, Inc.",46
Jackson & Perkins Company,45
"Hitachi, Ltd.",40
"Bear Creek Gardens, Inc.",40
"DeVor Nurseries, Inc.",38
Shell Oil Company,33
"Paul Ecke Ranch, Inc.",32
Ball Pan Am Plant Company,31
Van Staaveren B.V.,30
"Nor'East Miniature Roses, Inc.",30
"Oglevee, Ltd.",24
"Fuji Photo Film Co., Ltd.",23
Ball Seed Company,22
