node1,node2,year,patent_counts
H04,G06,2020,15992
G06,H04,2020,15127
H04,G06,2019,14821
H04,G06,2021,14705
G06,H04,2021,14408
G06,H04,2019,13813
H04,G06,2017,11972
G06,H04,2017,11035
H04,G06,2016,10947
G06,H04,2016,9765
H04,G06,2015,9652
H04,G06,2018,9456
G06,H04,2018,8805
G06,H04,2015,8566
H04,G06,2014,8443
H01,Y02,2020,7374
G06,H04,2014,7158
H01,Y02,2019,7000
H04,G06,2022,6968
G06,H04,2022,6725
H01,Y02,2021,6662
H04,G06,2013,6467
H01,Y02,2017,6124
H01,Y02,2016,5457
H01,Y02,2015,5398
G06,H04,2013,5246
A61,C07,2014,5245
H04,G06,2012,5207
A61,C07,2013,5068
A61,C07,2015,4913
A61,C07,2017,4850
H01,Y02,2018,4694
H01,Y02,2014,4642
A61,C07,2016,4638
A61,C07,2012,4529
A61,C07,2019,4521
A61,C07,2020,4512
A61,C07,2021,4134
A61,C07,2011,4029
H04,G06,2011,3996
G06,H04,2012,3956
H01,Y02,2013,3807
H01,Y02,2012,3606
G06,G01,2021,3466
A61,C07,2018,3458
H02,Y02,2019,3443
G06,G01,2020,3423
H01,Y10,2015,3420
C07,A61,2020,3382
H01,Y02,2022,3340
H01,Y10,2014,3302
C07,A61,2019,3272
H02,Y02,2020,3259
H01,Y10,2011,3221
C07,A61,2021,3220
H02,Y02,2021,3177
G06,H04,2011,3151
G06,G01,2019,3112
G06,Y02,2019,3105
G06,Y02,2020,3064
H01,Y10,2012,3050
C07,A61,2017,3037
H01,Y02,2011,3002
C07,A61,2016,3000
H01,Y10,2016,2972
G06,Y02,2021,2961
C07,A61,2015,2954
H04,Y02,2019,2925
H02,Y02,2017,2915
G01,G06,2020,2909
H01,Y10,2013,2854
G01,G06,2021,2834
C07,A61,2014,2833
H04,Y02,2020,2775
H04,Y02,2017,2731
C07,A61,2013,2706
A61,G01,2019,2642
B60,Y02,2019,2630
G01,G06,2019,2608
A61,G01,2020,2604
H02,Y02,2016,2571
H04,G01,2020,2559
H04,G01,2019,2556
B60,Y02,2017,2490
H04,Y02,2016,2476
H01,H05,2019,2458
B60,Y02,2021,2451
B60,Y02,2020,2447
G06,Y02,2017,2434
H01,H05,2020,2407
H02,Y02,2018,2395
A61,G01,2021,2392
H01,Y10,2017,2384
A61,G01,2017,2383
H04,Y02,2021,2382
C07,A61,2012,2381
A61,C12,2020,2313
F16,Y10,2015,2291
A61,C12,2019,2284
C07,A61,2018,2271
H01,H05,2017,2263
Y02,H01,2020,2260
G06,Y02,2016,2252
F02,Y02,2019,2234
Y02,H01,2019,2233
G01,H04,2020,2231
A61,C12,2021,2222
A61,G16,2020,2222
H01,G01,2020,2219
A61,G16,2021,2213
C07,A61,2011,2213
H04,G01,2021,2179
G06,G09,2020,2170
A61,G16,2019,2164
H01,H05,2016,2163
G06,G09,2019,2151
H04,Y02,2015,2149
F02,Y02,2020,2148
G06,G01,2017,2145
Y02,H01,2017,2127
H04,Y02,2018,2117
G01,H04,2019,2116
B60,Y02,2016,2111
A61,G01,2016,2106
Y02,H01,2015,2098
G01,H04,2021,2084
G06,G09,2021,2067
A61,Y10,2014,2066
Y02,H01,2016,2064
H01,H05,2021,2063
F16,Y10,2016,2057
F01,Y02,2019,2054
H02,Y02,2015,2048
B60,Y02,2015,2039
H01,H02,2019,2032
H01,G01,2021,2023
F01,Y02,2020,2015
H01,G01,2019,2014
A61,C12,2017,2003
G06,Y02,2015,1995
Y02,H02,2019,1991
A61,G06,2021,1983
F16,Y10,2014,1975
A61,G01,2015,1974
H04,G01,2017,1944
F16,Y10,2017,1943
H01,H02,2020,1937
F02,Y02,2021,1934
Y02,H01,2021,1932
H01,H04,2020,1928
H01,H05,2015,1916
A61,G06,2020,1906
H01,H04,2019,1893
G01,H01,2020,1891
Y02,H01,2014,1888
A61,C12,2015,1882
G09,G06,2020,1873
B60,Y02,2018,1862
F02,Y02,2017,1861
H01,H02,2021,1854
A61,Y10,2015,1830
Y10,F16,2014,1826
A61,C07,2022,1826
A61,C12,2016,1824
H01,G06,2020,1822
A61,G01,2018,1816
G06,G01,2018,1811
G01,G06,2017,1811
G06,G01,2016,1805
G02,H04,2019,1795
G01,H01,2019,1791
G09,G06,2019,1787
F05,Y02,2020,1782
A61,G01,2014,1782
A61,G06,2019,1780
Y02,H02,2017,1779
H04,Y02,2014,1771
G02,H04,2020,1769
F01,Y02,2021,1759
G06,G02,2020,1752
H01,G06,2019,1748
G06,Y02,2018,1747
H05,H01,2019,1745
Y02,H02,2020,1744
H01,G02,2019,1743
Y02,H02,2021,1742
H01,H05,2018,1740
G01,A61,2019,1729
H01,G02,2020,1726
H02,H01,2019,1721
G01,H01,2021,1718
G06,G16,2021,1715
G06,G09,2017,1714
G01,A61,2020,1711
H04,G02,2020,1705
H01,G01,2017,1704
Y10,F16,2015,1702
B01,Y02,2019,1693
H05,H01,2020,1691
H04,G02,2019,1691
G09,G06,2021,1686
A61,Y10,2013,1686
H01,H04,2021,1686
C08,C09,2019,1685
F16,Y10,2013,1684
C08,C09,2020,1682
H02,H01,2020,1678
C12,A61,2021,1676
Y10,H01,2014,1675
C12,C07,2020,1669
A61,C12,2018,1669
H01,G06,2021,1666
F05,F01,2020,1665
C12,A61,2020,1664
G06,Y02,2014,1661
F05,Y02,2019,1660
A61,Y10,2012,1656
Y02,H01,2018,1652
H04,H01,2020,1651
G06,G01,2022,1647
A61,C12,2014,1647
Y10,H01,2012,1636
H05,Y02,2019,1629
Y02,H02,2016,1626
A61,Y10,2016,1624
B01,Y02,2020,1623
Y02,Y10,2015,1622
H04,G01,2018,1622
F02,Y02,2018,1621
Y10,F16,2013,1621
H02,Y02,2014,1613
Y10,H01,2011,1607
C12,C07,2021,1602
C12,A61,2019,1597
G06,H01,2020,1594
B60,Y02,2014,1594
G02,H01,2019,1590
G06,G02,2019,1589
H02,H01,2021,1586
Y10,Y02,2015,1586
C12,C07,2019,1582
H04,H01,2019,1581
F02,Y02,2016,1578
H02,Y02,2022,1577
C08,C09,2021,1576
Y10,Y02,2014,1574
G01,G06,2016,1573
C08,C09,2017,1571
F05,Y02,2021,1569
F05,F01,2019,1567
H05,H01,2021,1566
G01,Y02,2019,1563
Y02,H01,2013,1557
G06,G16,2020,1550
H05,Y02,2020,1543
B01,Y02,2017,1543
G01,Y02,2020,1542
G06,G07,2021,1539
G01,A61,2021,1535
G01,G06,2018,1535
G02,H01,2020,1534
G02,H04,2021,1534
F01,Y02,2017,1534
H01,H05,2014,1531
A61,G01,2013,1527
G01,H04,2017,1527
H01,H02,2017,1525
G02,G06,2020,1522
G06,G02,2021,1520
F16,Y10,2012,1518
A61,Y10,2011,1517
G06,G11,2019,1513
H05,H01,2017,1509
A61,Y10,2017,1508
H01,G02,2021,1505
H04,G01,2016,1501
F02,Y02,2015,1499
G01,Y02,2021,1497
H05,Y02,2017,1494
C07,A61,2022,1489
Y10,F16,2016,1487
G06,A61,2020,1484
Y10,H01,2015,1483
Y02,Y10,2016,1480
A61,G16,2017,1480
G02,G06,2019,1478
Y10,H01,2013,1477
G06,Y02,2022,1472
B01,Y02,2021,1457
G06,G07,2020,1452
H01,G01,2016,1449
B60,Y10,2015,1443
Y02,H02,2015,1441
H04,G02,2021,1439
Y02,Y10,2014,1438
C08,C09,2016,1437
B60,G06,2020,1434
B01,Y02,2016,1433
G01,A61,2017,1433
G06,G01,2015,1432
Y02,H02,2018,1432
G02,G06,2021,1428
A61,C12,2013,1412
G06,G11,2020,1411
G06,G09,2016,1409
C12,A61,2017,1408
B60,G06,2021,1399
G06,H01,2021,1399
H04,H01,2021,1398
G06,Y10,2011,1396
Y10,F16,2012,1395
H04,H03,2019,1393
Y10,Y02,2016,1393
C07,C12,2020,1390
G06,A61,2021,1389
H04,G01,2015,1387
F01,F05,2019,1387
G06,G07,2019,1387
G06,H01,2019,1385
H02,H01,2017,1383
A61,Y02,2019,1382
G01,G06,2022,1379
H04,Y02,2013,1376
B01,Y02,2015,1373
F05,F01,2021,1367
H03,H04,2019,1366
H04,H03,2020,1362
Y02,Y10,2017,1362
H01,G01,2015,1361
G11,G06,2020,1361
B60,Y10,2016,1359
C12,C07,2017,1355
G01,G06,2015,1354
C12,A61,2016,1354
G01,H01,2017,1353
A61,Y02,2020,1349
F01,F02,2020,1348
H01,H04,2017,1347
H01,H02,2018,1345
H01,H02,2016,1344
H02,Y02,2013,1341
Y02,B60,2019,1338
C12,C07,2016,1335
G01,H04,2018,1331
H05,H01,2016,1331
Y02,H01,2012,1329
F01,F05,2020,1328
Y10,Y02,2017,1326
H05,Y02,2016,1325
G06,G16,2019,1321
B60,Y02,2013,1320
G09,G06,2017,1318
G06,G09,2018,1318
G06,Y02,2013,1318
G01,H04,2016,1317
Y02,H02,2014,1316
H03,H04,2020,1314
F01,Y02,2018,1313
H01,H05,2013,1313
C07,C12,2021,1313
G06,A61,2019,1308
H01,G01,2018,1304
A61,G01,2012,1304
A61,C12,2012,1300
F01,F02,2019,1299
C07,C12,2019,1299
H01,H05,2011,1298
G02,H04,2017,1295
Y10,H01,2016,1292
G01,Y10,2014,1287
G01,Y10,2015,1284
G01,Y02,2017,1282
F02,Y02,2014,1275
A61,Y02,2017,1272
Y02,B60,2020,1272
H01,H05,2012,1272
G06,G11,2021,1269
G02,H01,2021,1267
A61,Y02,2021,1265
H01,G02,2017,1263
G01,A61,2016,1263
B60,G06,2019,1253
G06,G11,2017,1251
B60,Y02,2022,1250
G16,G06,2021,1250
H04,G02,2017,1248
C09,C08,2019,1248
G11,G06,2019,1246
B01,Y02,2014,1242
Y02,B60,2021,1242
A61,G06,2017,1242
G06,G09,2015,1242
Y02,B60,2017,1241
Y10,Y02,2012,1240
Y02,G06,2020,1240
B60,Y10,2017,1239
G01,H01,2016,1236
B60,B62,2020,1236
F01,Y02,2015,1235
Y10,F16,2011,1230
C08,C09,2015,1229
A61,Y02,2016,1228
H05,Y02,2021,1224
C09,C08,2020,1223
A61,G16,2018,1223
C12,A61,2014,1222
H05,H01,2015,1218
H01,G02,2016,1218
H01,Y10,2018,1214
C12,A61,2015,1214
C12,C07,2015,1213
Y10,F16,2017,1212
G11,G06,2021,1211
G02,H01,2017,1211
H01,G01,2014,1211
G06,G11,2016,1210
B32,Y10,2017,1209
B60,Y10,2014,1208
Y10,Y02,2011,1204
C12,C07,2014,1202
B60,F16,2019,1200
A61,Y02,2015,1200
F16,Y10,2011,1199
H01,B82,2014,1197
B01,Y02,2018,1196
A61,G01,2022,1196
B32,Y10,2016,1192
G09,G06,2016,1190
F01,Y02,2016,1190
B60,B62,2021,1188
B60,B62,2019,1186
H04,H03,2017,1182
C07,Y02,2019,1180
G01,A61,2018,1180
Y02,G06,2019,1177
A61,G16,2016,1174
F02,F01,2019,1173
C08,C09,2014,1173
