source,target,weight
H04,G06,145603
G06,H04,127220
A61,C07,102570
H01,Y02,90600
H01,Y10,74823
C07,A61,74044
F16,Y10,49826
Y10,F16,48002
A61,Y10,47447
Y10,H01,44617
H01,H05,39338
F02,Y02,35816
A61,G01,34853
A61,C12,34806
H02,Y02,34778
Y02,H01,33817
Y10,Y02,32861
C12,C07,31005
G01,Y10,30980
C08,Y10,30722
C08,C09,30156
G06,Y02,29979
H04,Y02,29458
B60,Y02,28694
Y02,Y10,28499
B01,Y02,28386
H05,H01,27940
B60,Y10,27699
G06,Y10,27665
G06,G01,27431
C12,A61,27366
H01,G01,27185
Y10,G01,26749
Y10,B23,25867
B29,Y10,25859
B01,Y10,25087
C07,C12,24898
Y10,A61,24791
Y10,G06,24760
F01,Y02,24459
G01,A61,24300
G01,G06,24292
Y10,C08,24138
Y02,H02,22711
G01,H01,22452
H04,G01,22299
C07,Y02,22119
C09,C08,21837
H05,Y10,21830
H01,G02,21283
H01,H02,20844
B32,Y10,20829
H04,H03,20599
B23,Y10,20557
Y10,B60,20442
H05,Y02,19905
A61,Y02,19798
H01,H04,19624
Y10,C09,19545
H03,H04,19477
G06,G07,19315
G01,H04,19053
H01,B82,19013
G06,G09,18924
B65,Y10,18552
C09,Y10,18355
G06,G11,18229
B60,F16,17901
G02,H04,17802
G02,H01,17714
H02,H01,17677
H04,G02,17669
G11,G06,17640
Y10,B32,17533
A61,G16,17514
B01,C07,17485
F16,B60,17390
Y10,B65,17250
H01,G11,17212
H01,G06,17205
Y10,H05,17029
H04,H01,16899
G09,G06,16736
F02,F01,16611
Y10,B29,16594
F01,F02,16569
G01,C12,16380
G01,Y02,16369
H01,C23,16198
C12,G01,15352
A61,G06,15244
B60,B62,14657
Y02,B60,14604
F05,Y02,14203
H04,G03,14014
Y02,F02,14008
Y10,B01,13953
C07,Y10,13930
B01,G01,13870
G06,H01,13708
