patent_type,state,year,patent_counts
design,Arizona,1986,4
design,California,1986,1
design,Indiana,1979,2
design,Indiana,1982,1
design,Maryland,1986,2
design,Michigan,1985,1
design,New Jersey,1980,1
design,New Jersey,1985,2
design,New Jersey,1986,1
design,New York,1986,1
design,Ohio,1984,3
design,Pennsylvania,1985,1
design,Wisconsin,1986,4
plant,Alabama,1982,1
plant,Alabama,1985,2
plant,Alabama,1988,1
plant,Alabama,1991,1
plant,Alabama,1993,1
plant,Alabama,1994,3
plant,Alabama,1995,4
plant,Alabama,1996,1
plant,Alabama,1998,2
plant,Alabama,1999,3
plant,Alabama,2001,5
plant,Alabama,2002,3
plant,Alabama,2003,5
plant,Alabama,2004,4
plant,Alabama,2005,4
plant,Alabama,2006,2
plant,Alabama,2007,2
plant,Alabama,2008,10
plant,Alabama,2009,28
plant,Alabama,2010,14
plant,Alabama,2011,19
plant,Alabama,2014,8
plant,Alabama,2015,4
plant,Alabama,2016,3
plant,Alabama,2017,2
plant,Alabama,2018,3
plant,Alabama,2019,2
plant,Alabama,2020,1
plant,Alabama,2021,2
plant,Alabama,2022,1
plant,Arizona,1988,3
plant,Arizona,1991,1
plant,Arizona,1994,2
plant,Arizona,1995,2
plant,Arizona,1996,2
plant,Arizona,1999,1
plant,Arizona,2000,1
plant,Arizona,2002,1
plant,Arizona,2004,2
plant,Arizona,2006,3
plant,Arizona,2007,2
plant,Arizona,2009,7
plant,Arizona,2010,1
plant,Arizona,2011,2
plant,Arizona,2012,1
plant,Arizona,2013,2
plant,Arizona,2014,8
plant,Arizona,2015,4
plant,Arizona,2016,6
plant,Arizona,2017,3
plant,Arizona,2018,5
plant,Arizona,2019,1
plant,Arizona,2020,2
plant,Arizona,2021,7
plant,Arizona,2022,3
plant,Arkansas,1984,1
plant,Arkansas,1986,2
plant,Arkansas,1988,1
plant,Arkansas,1989,3
plant,Arkansas,1993,4
plant,Arkansas,1997,4
plant,Arkansas,2001,6
plant,Arkansas,2002,8
plant,Arkansas,2003,2
plant,Arkansas,2004,2
plant,Arkansas,2005,2
plant,Arkansas,2006,5
plant,Arkansas,2007,4
plant,Arkansas,2008,4
plant,Arkansas,2010,3
plant,Arkansas,2012,5
plant,Arkansas,2013,3
plant,Arkansas,2014,3
plant,Arkansas,2015,10
plant,Arkansas,2016,10
plant,Arkansas,2017,3
plant,Arkansas,2018,1
plant,Arkansas,2019,8
plant,Arkansas,2020,2
plant,Arkansas,2021,6
plant,California,1976,7
plant,California,1977,63
plant,California,1978,57
plant,California,1979,65
plant,California,1980,53
plant,California,1981,112
plant,California,1982,88
plant,California,1983,82
plant,California,1984,136
plant,California,1985,95
plant,California,1986,111
plant,California,1987,68
plant,California,1988,162
plant,California,1989,210
plant,California,1990,112
plant,California,1991,196
plant,California,1992,192
plant,California,1993,235
plant,California,1994,221
plant,California,1995,150
plant,California,1996,138
plant,California,1997,197
plant,California,1998,172
plant,California,1999,117
plant,California,2000,190
plant,California,2001,228
plant,California,2002,382
plant,California,2003,251
plant,California,2004,296
plant,California,2005,155
plant,California,2006,225
plant,California,2007,158
plant,California,2008,248
plant,California,2009,176
plant,California,2010,142
plant,California,2011,144
plant,California,2012,141
plant,California,2013,204
plant,California,2014,192
plant,California,2015,166
plant,California,2016,284
plant,California,2017,271
plant,California,2018,233
plant,California,2019,207
plant,California,2020,308
plant,California,2021,312
plant,California,2022,141
plant,Colorado,1977,4
plant,Colorado,1987,1
plant,Colorado,1988,1
plant,Colorado,1989,8
plant,Colorado,1991,1
plant,Colorado,1994,1
plant,Colorado,1995,1
plant,Colorado,1998,1
plant,Colorado,2001,1
plant,Colorado,2003,1
plant,Colorado,2004,1
plant,Colorado,2005,2
plant,Colorado,2007,1
plant,Colorado,2008,1
plant,Colorado,2009,5
plant,Colorado,2010,2
plant,Colorado,2013,1
plant,Colorado,2015,1
plant,Colorado,2016,3
plant,Colorado,2018,1
plant,Colorado,2019,5
plant,Colorado,2021,1
plant,Connecticut,1977,2
plant,Connecticut,1980,2
plant,Connecticut,1981,1
plant,Connecticut,1983,1
plant,Connecticut,1984,6
plant,Connecticut,1985,3
plant,Connecticut,1986,2
plant,Connecticut,1987,3
plant,Connecticut,1988,4
plant,Connecticut,1989,5
plant,Connecticut,1991,3
plant,Connecticut,1995,3
plant,Connecticut,1996,2
plant,Connecticut,1997,2
plant,Connecticut,1998,1
plant,Connecticut,1999,6
plant,Connecticut,2002,2
plant,Connecticut,2003,1
plant,Connecticut,2005,4
plant,Connecticut,2006,5
plant,Connecticut,2007,1
plant,Connecticut,2008,2
plant,Connecticut,2009,4
plant,Connecticut,2010,2
plant,Connecticut,2011,1
plant,Connecticut,2012,3
plant,Connecticut,2013,1
plant,Connecticut,2016,2
plant,Connecticut,2017,11
plant,Connecticut,2018,3
plant,Connecticut,2019,4
plant,Connecticut,2020,4
plant,Connecticut,2021,2
